"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"1",95,94,90,90,89,94,50,100,89,79,21,99,78,89,2,"favorable"
"2",97,99,100,100,75,97,100,52,97,29,75,84,48,97,51,"favorable"
"3",77,83,77,90,51,75,50,69,75,89,25,50,99,94,0,"lightly favorable"
"4",99,51,100,99,50,99,40,50,89,40,30,80,99,99,11,"favorable"
"5",91,75,90,93,65,95,91,36,90,2,30,70,30,96,1,"favorable"
"6",100,97,98,98,99,100,26,100,100,100,NA,100,100,52,NA,"favorable"
"7",100,99,95,93,90,100,100,88,91,100,37,90,91,44,4,"favorable"
"8",20,60,6,31,1,50,80,50,1,1,2,0,1,80,1,"strongly unfaborable"
"9",100,100,100,100,100,100,67,100,100,100,25,100,78,78,NA,"favorable"
"10",55,52,80,53,76,49,52,97,84,80,2,63,89,51,0,"favorable"
"11",91,85,82,80,84,90,83,89,76,88,0,91,84,89,0,"favorable"
"12",62,49,66,61,54,56,46,88,NA,70,28,76,24,98,0,NA
"13",55,59,53,50,27,50,50,17,52,6,53,51,26,100,79,"lightly favorable"
"14",90,90,90,90,90,90,25,91,90,90,25,90,90,NA,1,"favorable"
"15",69,51,61,96,60,97,39,99,69,90,31,67,88,88,3,"lightly favorable"
"16",51,50,50,50,50,50,10,59,89,54,6,95,87,78,3,"favorable"
"17",93,99,97,98,87,97,52,80,98,98,31,99,97,89,1,"favorable"
"18",4,99,80,81,6,91,97,28,50,3,78,1,53,100,NA,"unfavorable"
"19",91,90,90,90,90,91,90,90,89,91,40,90,89,79,20,"favorable"
"20",56,76,40,79,39,89,40,31,79,1,50,41,10,95,NA,"favorable"
"21",19,78,47,68,5,84,61,3,61,0,24,8,31,45,74,"lightly favorable"
"22",72,92,97,92,91,94,82,95,97,55,30,92,93,97,79,"favorable"
"23",26,60,51,50,31,31,52,30,10,7,11,50,30,30,100,"strongly unfaborable"
"24",95,95,95,99,50,90,95,20,80,20,50,95,21,95,NA,"favorable"
"25",77,87,76,87,77,75,84,12,68,6,15,69,11,90,9,"lightly favorable"
"26",82,81,90,91,81,91,91,NA,80,NA,42,92,61,91,51,"favorable"
"27",90,90,90,90,70,90,90,70,90,60,25,90,40,80,41,"favorable"
"28",81,90,90,83,80,100,90,97,95,71,15,99,87,90,6,"favorable"
"29",82,87,77,87,21,82,82,31,61,0,NA,82,26,86,31,"lightly favorable"
"30",100,91,100,92,75,100,89,61,70,60,41,91,70,82,50,"lightly favorable"
"31",100,44,99,99,100,100,100,79,100,3,8,100,47,99,33,"favorable"
"32",51,74,41,50,9,70,76,10,20,1,1,50,10,50,50,"strongly unfaborable"
"33",25,100,56,100,0,100,100,8,0,0,8,3,24,100,100,"strongly unfaborable"
"34",100,98,27,96,89,100,99,95,35,46,54,96,36,89,51,"unfavorable"
